0,1,2,3,4,5,6,7,8,9,10
Method,Dataset,MNLI,SST-2,MRPC,CoLA,,QNLI,QQP,RTE,STS-B
,Optimizer,,,,,AdamW,,,,
,Warmup Ratio,,,,,0.1,,,,
,LR Schedule,,,,,Linear,,,,
,Batch Size,8,8,32,4,,6,8,4,4
,# Epochs,5,16,30,10,,8,11,11,10
DeBERTa XXL,,,,,,,,,,
,Learning Rate,1E-04,6E-05,2E-04,1E-04,,1E-04,1E-04,2E-04,2E-04
LoRA,,,,,,,,,,
,Weight Decay,0,0.01,0.01,0,,0.01,0.01,0.01,0.1
,CLS Dropout,0.15,0,0,0.1,,0.1,0.2,0.2,0.2
,LoRA Conﬁg.,,,,,rq = rv = 8,,,,
,LoRA α,,,,,8,,,,
,Max Seq. Len.,256,128,128,64,,512,320,320,128
