0,1,2,3,4
"Max Seq. Len.
256
128",128,64,512,320
Table 10: The hyperparameters for DeBERTa XXL on tasks included in the GLUE benchmark.,,,,
Dataset,E2E,WebNLG,DART,
,,Training,,
Optimizer,,AdamW,,
Weight Decay,0.01,0.01,0.0,
Dropout Prob,0.1,0.1,0.0,
Batch Size,,8,,
# Epoch,,5,,
Warmup Steps,,500,,
Learning Rate Schedule,,Linear,,
Label Smooth,0.1,0.1,0.0,
Learning Rate,,0.0002,,
Adaptation,,rq = rv = 4,,
LoRA α,,32,,
,,Inference,,
Beam Size,,10,,
Length Penalty,0.9,0.8,0.8,
no repeat ngram size,,4,,
