0,1,2,3,4,5,6
Model & Method,# Trainable,,,E2E NLG Challenge,,
,Parameters,BLEU,NIST,MET,ROUGE-L,CIDEr
GPT-2 M (FT)*,354.92M,68.2,8.62,46.2,71.0,2.47
GPT-2 M (AdapterL)*,0.37M,66.3,8.41,45.0,69.8,2.40
GPT-2 M (AdapterL)*,11.09M,68.9,8.71,46.1,71.3,2.47
GPT-2 M (AdapterH),11.09M,67.3±.6,8.50±.07,46.0±.2,70.7±.2,2.44±.01
GPT-2 M (FTTop2)*,25.19M,68.1,8.59,46.0,70.8,2.41
GPT-2 M (PreLayer)*,0.35M,69.7,8.81,46.1,71.4,2.49
GPT-2 M (LoRA),0.35M,70.4±.1,8.85±.02,46.8±.2,71.8±.1,2.53±.02
GPT-2 L (FT)*,774.03M,68.5,8.78,46.0,69.9,2.45
GPT-2 L (AdapterL),0.88M,69.1±.1,8.68±.03,46.3±.0,71.4±.2,2.49±.0
GPT-2 L (AdapterL),23.00M,68.9±.3,8.70±.04,46.1±.1,71.3±.2,2.45±.02
GPT-2 L (PreLayer)*,0.77M,70.3,8.85,46.2,71.7,2.47
GPT-2 L (LoRA),0.77M,70.4±.1,8.89±.02,46.8±.2,72.0±.2,2.47±.02
